Airport,UniqueCarrier,Airline,Status,Delay (in min),Flight Counts,Delay Counts,Average Delay (in min),Delay Frequency (%)
DTW,WN,Southwest Airlines Co.,Departure,76248,6592,3827,19.92370003,58.05521845
DTW,XE,ExpressJet Airlines Inc.,Departure,48798,2075,910,53.62417582,43.85542169
DTW,YV,Mesa Airlines Inc.,Departure,22983,1392,486,47.29012346,34.9137931
EWR,9E,Endeavor Air Inc.,Departure,4347,99,65,66.87692308,65.65656566
EWR,AA,American Airlines Inc.,Departure,103734,5992,2436,42.58374384,40.65420561
EWR,AS,Alaska Airlines Inc.,Departure,11286,731,268,42.1119403,36.6621067
EWR,B6,JetBlue Airways,Departure,78312,4211,1556,50.32904884,36.95084303
EWR,CO,Continental Airlines Inc.,Departure,897340,55588,33211,27.01936106,59.74490897
EWR,DL,Delta Airlines Inc.,Departure,59334,3774,1740,34.1,46.10492846
EWR,EV,ExpressJet Airlines Inc.,Departure,8608,342,158,54.48101266,46.19883041
EWR,FL,AirTran Airways Co.,Departure,34267,1887,703,48.74395448,37.25490196
EWR,MQ,Envoy Air,Departure,18323,922,418,43.83492823,45.3362256
EWR,NW,Northwest Airlines Inc.,Departure,21729,3518,917,23.695747,26.06594656
EWR,OH,PSA Airlines Inc.,Departure,25604,1533,384,66.67708333,25.04892368
EWR,OO,SkyWest Airlines Inc.,Departure,33963,1276,515,65.94757282,40.36050157
EWR,UA,United Airlines Inc.,Departure,103244,4868,2240,46.09107143,46.01479047
EWR,US,US Airways Inc.,Departure,32651,3579,999,32.68368368,27.91282481
EWR,XE,ExpressJet Airlines Inc.,Departure,1003837,49138,23750,42.26682105,48.3332655
EWR,YV,Mesa Airlines Inc.,Departure,13823,1048,252,54.8531746,24.04580153
IAH,9E,Endeavor Air Inc.,Departure,11457,1462,442,25.92081448,30.23255814
IAH,AA,American Airlines Inc.,Departure,51762,4325,1564,33.09590793,36.16184971
IAH,CO,Continental Airlines Inc.,Departure,1047089,85642,48979,21.3783254,57.19039724
IAH,DL,Delta Airlines Inc.,Departure,10310,1214,454,22.7092511,37.3970346
IAH,EV,ExpressJet Airlines Inc.,Departure,622,37,18,34.55555556,48.64864865
IAH,F9,Frontier Airlines Inc.,Departure,3030,846,240,12.625,28.36879433
IAH,NW,Northwest Airlines Inc.,Departure,7224,1598,319,22.64576803,19.96245307
IAH,OH,PSA Airlines Inc.,Departure,9337,1013,292,31.9760274,28.82527147
IAH,OO,SkyWest Airlines Inc.,Departure,24095,2510,826,29.17070218,32.90836653
IAH,UA,United Airlines Inc.,Departure,20030,2325,735,27.25170068,31.61290323
IAH,US,US Airways Inc.,Departure,9758,1924,653,14.94333844,33.93970894
IAH,XE,ExpressJet Airlines Inc.,Departure,709437,80194,31991,22.17614329,39.89201187
IAH,YV,Mesa Airlines Inc.,Departure,25158,2082,626,40.1884984,30.06724304
JFK,AA,American Airlines Inc.,Departure,222497,11946,5325,41.78347418,44.57559016
JFK,B6,JetBlue Airways,Departure,624856,52896,19031,32.8335873,35.9781458
JFK,CO,Continental Airlines Inc.,Departure,10167,882,399,25.48120301,45.23809524
JFK,DL,Delta Airlines Inc.,Departure,209325,16393,7015,29.83962937,42.7926554
JFK,EV,ExpressJet Airlines Inc.,Departure,7612,194,129,59.00775194,66.49484536
